day,threshold,low_carbon_count,low_carbon_pct
322,99.48,24,25.0
323,59.7825,24,25.0
324,96.6725,23,23.96
325,77.91,24,25.0
326,72.795,24,25.0
327,56.620000000000005,25,26.04
328,85.98,23,23.96
329,77.815,24,25.0
330,130.43,25,26.04
331,120.8075,24,25.0
332,83.6,24,25.0
333,78.66,24,25.0
334,104.82249999999999,24,25.0
335,105.855,23,23.96
336,81.52,24,25.0
337,83.44,24,25.0
338,109.1275,24,25.0
339,105.4975,24,25.0
340,85.35,22,22.92
341,77.99,25,26.04
342,93.565,24,25.0
343,70.9425,23,23.96
344,87.6625,24,25.0
345,93.03750000000001,25,26.04
346,55.68,21,21.88
347,72.92250000000001,25,26.04
348,42.81,23,23.96
349,103.28750000000001,24,25.0
350,75.2775,23,23.96
351,63.91250000000001,23,23.96
352,55.4225,21,21.88
353,65.59,24,25.0
354,61.475,25,26.04
355,116.6225,24,25.0
356,117.2025,24,25.0
357,90.745,24,25.0
358,85.4075,25,26.04
359,104.55,24,25.0
360,80.02250000000001,24,25.0
361,99.8775,24,25.0
362,112.6625,23,23.96
363,52.0625,24,25.0
364,113.1775,24,25.0
365,110.48,23,23.96
