day,threshold,high_ratio_count,high_ratio_pct
351,0.743895,24,25.0
352,1.28963,24,25.0
353,1.1395575,24,25.0
354,1.2506275,24,25.0
355,0.3064225,24,25.0
356,0.29318,24,25.0
357,0.5811974999999999,24,25.0
358,0.6409674999999999,25,26.04
359,0.3920725,23,23.96
360,1.0080525,24,25.0
361,0.4420275,24,25.0
362,0.297445,23,23.96
363,0.9158175000000001,24,25.0
364,0.286495,24,25.0
365,0.3467525,23,23.96
